year,month,variable,parameter,greenhouse_gas_concentration,unit
1972,12,carbon_dioxide,mean,326.1,ppm
1972,12,carbon_dioxide,mean_fitted,326.1,ppm
1972,12,carbon_dioxide,seasonal_adjusted_mean,326.19258591595536,ppm
1972,12,carbon_dioxide,trend,327.099240822861,ppm
1973,1,carbon_dioxide,mean,326.4,ppm
1973,1,carbon_dioxide,mean_fitted,326.4,ppm
1973,1,carbon_dioxide,seasonal_adjusted_mean,326.55762984498216,ppm
1973,1,carbon_dioxide,trend,327.2038861455321,ppm
1973,2,carbon_dioxide,mean,326.6,ppm
1973,2,carbon_dioxide,mean_fitted,326.6,ppm
1973,2,carbon_dioxide,seasonal_adjusted_mean,326.95077909267803,ppm
1973,2,carbon_dioxide,trend,327.30853146820317,ppm
1973,3,carbon_dioxide,mean,327.1,ppm
1973,3,carbon_dioxide,mean_fitted,327.1,ppm
1973,3,carbon_dioxide,seasonal_adjusted_mean,327.59513820876583,ppm
1973,3,carbon_dioxide,trend,327.4131767908743,ppm
1973,4,carbon_dioxide,mean,327.3,ppm
1973,4,carbon_dioxide,mean_fitted,327.3,ppm
1973,4,carbon_dioxide,seasonal_adjusted_mean,327.7752029041353,ppm
1973,4,carbon_dioxide,trend,327.5178221135453,ppm
1973,5,carbon_dioxide,mean,327.3,ppm
1973,5,carbon_dioxide,mean_fitted,327.3,ppm
1973,5,carbon_dioxide,seasonal_adjusted_mean,327.5412957002744,ppm
1973,5,carbon_dioxide,trend,327.6224674362164,ppm
1973,6,carbon_dioxide,mean,327.5,ppm
1973,6,carbon_dioxide,mean_fitted,327.5,ppm
1973,6,carbon_dioxide,seasonal_adjusted_mean,327.6771218745286,ppm
1973,6,carbon_dioxide,trend,327.7257597038827,ppm
1973,7,carbon_dioxide,mean,328.2,ppm
1973,7,carbon_dioxide,mean_fitted,328.2,ppm
1973,7,carbon_dioxide,seasonal_adjusted_mean,327.94322956794747,ppm
1973,7,carbon_dioxide,trend,327.82905197154895,ppm
1973,8,carbon_dioxide,mean,328.7,ppm
1973,8,carbon_dioxide,mean_fitted,328.7,ppm
1973,8,carbon_dioxide,seasonal_adjusted_mean,328.2856266944817,ppm
1973,8,carbon_dioxide,trend,327.93234423921524,ppm
1973,9,carbon_dioxide,mean,328.7,ppm
1973,9,carbon_dioxide,mean_fitted,328.7,ppm
1973,9,carbon_dioxide,seasonal_adjusted_mean,328.3110335525927,ppm
1973,9,carbon_dioxide,trend,328.0356365068815,ppm
1973,10,carbon_dioxide,mean,328.8,ppm
1973,10,carbon_dioxide,mean_fitted,328.8,ppm
1973,10,carbon_dioxide,seasonal_adjusted_mean,328.34466731974265,ppm
1973,10,carbon_dioxide,trend,328.13892877454776,ppm
1973,11,carbon_dioxide,mean,329.1,ppm
1973,11,carbon_dioxide,mean_fitted,329.1,ppm
1973,11,carbon_dioxide,seasonal_adjusted_mean,328.6333432441122,ppm
1973,11,carbon_dioxide,trend,328.2417725179065,ppm
1973,12,carbon_dioxide,mean,328.7,ppm
1973,12,carbon_dioxide,mean_fitted,328.7,ppm
1973,12,carbon_dioxide,seasonal_adjusted_mean,328.7816844366887,ppm
1973,12,carbon_dioxide,trend,328.34461626126523,ppm
1974,1,carbon_dioxide,mean,328.8,ppm
1974,1,carbon_dioxide,mean_fitted,328.8,ppm
1974,1,carbon_dioxide,seasonal_adjusted_mean,328.9583813233162,ppm
1974,1,carbon_dioxide,trend,328.447460004624,ppm
1974,2,carbon_dioxide,mean,328.3,ppm
1974,2,carbon_dioxide,mean_fitted,328.3,ppm
1974,2,carbon_dioxide,seasonal_adjusted_mean,328.6496687551906,ppm
1974,2,carbon_dioxide,trend,328.55030374798275,ppm
1974,3,carbon_dioxide,mean,328.1,ppm
1974,3,carbon_dioxide,mean_fitted,328.1,ppm
1974,3,carbon_dioxide,seasonal_adjusted_mean,328.598177744413,ppm
1974,3,carbon_dioxide,trend,328.6531474913415,ppm
1974,4,carbon_dioxide,mean,328.1,ppm
1974,4,carbon_dioxide,mean_fitted,328.1,ppm
1974,4,carbon_dioxide,seasonal_adjusted_mean,328.57490557049937,ppm
1974,4,carbon_dioxide,trend,328.75534575231,ppm
1974,5,carbon_dioxide,mean,328.6,ppm
1974,5,carbon_dioxide,mean_fitted,328.6,ppm
1974,5,carbon_dioxide,seasonal_adjusted_mean,328.8431188867538,ppm
1974,5,carbon_dioxide,trend,328.8575440132785,ppm
1974,6,carbon_dioxide,mean,328.8,ppm
1974,6,carbon_dioxide,mean_fitted,328.8,ppm
1974,6,carbon_dioxide,seasonal_adjusted_mean,328.977162127571,ppm
1974,6,carbon_dioxide,trend,328.9597422742471,ppm
1974,7,carbon_dioxide,mean,329.3,ppm
1974,7,carbon_dioxide,mean_fitted,329.3,ppm
1974,7,carbon_dioxide,seasonal_adjusted_mean,329.0440942932563,ppm
1974,7,carbon_dioxide,trend,329.0619405352156,ppm
1974,8,carbon_dioxide,mean,329.6,ppm
1974,8,carbon_dioxide,mean_fitted,329.6,ppm
1974,8,carbon_dioxide,seasonal_adjusted_mean,329.18845841499746,ppm
1974,8,carbon_dioxide,trend,329.16413879618415,ppm
1974,9,carbon_dioxide,mean,329.7,ppm
1974,9,carbon_dioxide,mean_fitted,329.7,ppm
1974,9,carbon_dioxide,seasonal_adjusted_mean,329.31107528119634,ppm
1974,9,carbon_dioxide,trend,329.261117090695,ppm
1974,10,carbon_dioxide,mean,329.7,ppm
1974,10,carbon_dioxide,mean_fitted,329.7,ppm
1974,10,carbon_dioxide,seasonal_adjusted_mean,329.24700047212025,ppm
1974,10,carbon_dioxide,trend,329.35809538520584,ppm
1974,11,carbon_dioxide,mean,329.8,ppm
1974,11,carbon_dioxide,mean_fitted,329.8,ppm
1974,11,carbon_dioxide,seasonal_adjusted_mean,329.3368470220828,ppm
1974,11,carbon_dioxide,trend,329.45507367971663,ppm
1974,12,carbon_dioxide,mean,329.8,ppm
1974,12,carbon_dioxide,mean_fitted,329.8,ppm
1974,12,carbon_dioxide,seasonal_adjusted_mean,329.8663537859516,ppm
1974,12,carbon_dioxide,trend,329.5520519742275,ppm
1975,1,carbon_dioxide,mean,329.7,ppm
1975,1,carbon_dioxide,mean_fitted,329.7,ppm
1975,1,carbon_dioxide,seasonal_adjusted_mean,329.85717780813366,ppm
1975,1,carbon_dioxide,trend,329.64903026873833,ppm
1975,2,carbon_dioxide,mean,329.3,ppm
1975,2,carbon_dioxide,mean_fitted,329.3,ppm
1975,2,carbon_dioxide,seasonal_adjusted_mean,329.64926929411035,ppm
1975,2,carbon_dioxide,trend,329.7363952683652,ppm
1975,3,carbon_dioxide,mean,329.3,ppm
1975,3,carbon_dioxide,mean_fitted,329.3,ppm
1975,3,carbon_dioxide,seasonal_adjusted_mean,329.8027270440604,ppm
1975,3,carbon_dioxide,trend,329.823760267992,ppm
1975,4,carbon_dioxide,mean,329.4,ppm
1975,4,carbon_dioxide,mean_fitted,329.4,ppm
1975,4,carbon_dioxide,seasonal_adjusted_mean,329.8762355197193,ppm
1975,4,carbon_dioxide,trend,329.91112526761884,ppm
1975,5,carbon_dioxide,mean,330,ppm
1975,5,carbon_dioxide,mean_fitted,330,ppm
1975,5,carbon_dioxide,seasonal_adjusted_mean,330.246199547134,ppm
1975,5,carbon_dioxide,trend,329.99849026724564,ppm
1975,6,carbon_dioxide,mean,330.2,ppm
1975,6,carbon_dioxide,mean_fitted,330.2,ppm
1975,6,carbon_dioxide,seasonal_adjusted_mean,330.37718579698486,ppm
1975,6,carbon_dioxide,trend,330.0858552668725,ppm
1975,7,carbon_dioxide,mean,330.2,ppm
1975,7,carbon_dioxide,mean_fitted,330.2,ppm
1975,7,carbon_dioxide,seasonal_adjusted_mean,329.9468429889199,ppm
1975,7,carbon_dioxide,trend,330.1759807344989,ppm
1975,8,carbon_dioxide,mean,330.5,ppm
1975,8,carbon_dioxide,mean_fitted,330.5,ppm
1975,8,carbon_dioxide,seasonal_adjusted_mean,330.09315252061066,ppm
1975,8,carbon_dioxide,trend,330.26610620212534,ppm
1975,9,carbon_dioxide,mean,330.6,ppm
1975,9,carbon_dioxide,mean_fitted,330.6,ppm
1975,9,carbon_dioxide,seasonal_adjusted_mean,330.2123124681748,ppm
1975,9,carbon_dioxide,trend,330.3562316697517,ppm
1975,10,carbon_dioxide,mean,NA,ppm
1975,10,carbon_dioxide,mean_fitted,330.9,ppm
1975,10,carbon_dioxide,seasonal_adjusted_mean,330.45223594171097,ppm
1975,10,carbon_dioxide,trend,330.44635713737813,ppm
1975,11,carbon_dioxide,mean,330.8,ppm
1975,11,carbon_dioxide,mean_fitted,330.8,ppm
1975,11,carbon_dioxide,seasonal_adjusted_mean,330.3439407733261,ppm
1975,11,carbon_dioxide,trend,330.53648260500455,ppm
1975,12,carbon_dioxide,mean,330.2,ppm
1975,12,carbon_dioxide,mean_fitted,330.2,ppm
1975,12,carbon_dioxide,seasonal_adjusted_mean,330.23745291750987,ppm
1975,12,carbon_dioxide,trend,330.63032269544686,ppm
1976,1,carbon_dioxide,mean,330.9,ppm
1976,1,carbon_dioxide,mean_fitted,330.9,ppm
1976,1,carbon_dioxide,seasonal_adjusted_mean,331.0484548144231,ppm
1976,1,carbon_dioxide,trend,330.72416278588923,ppm
1976,2,carbon_dioxide,mean,330.9,ppm
1976,2,carbon_dioxide,mean_fitted,330.9,ppm
1976,2,carbon_dioxide,seasonal_adjusted_mean,331.24602851828377,ppm
1976,2,carbon_dioxide,trend,330.81800287633155,ppm
1976,3,carbon_dioxide,mean,330.6,ppm
1976,3,carbon_dioxide,mean_fitted,330.6,ppm
1976,3,carbon_dioxide,seasonal_adjusted_mean,331.1104389659038,ppm
1976,3,carbon_dioxide,trend,330.9118429667739,ppm
1976,4,carbon_dioxide,mean,330.3,ppm
1976,4,carbon_dioxide,mean_fitted,330.3,ppm
1976,4,carbon_dioxide,seasonal_adjusted_mean,330.78146855180637,ppm
1976,4,carbon_dioxide,trend,331.00568305721623,ppm
1976,5,carbon_dioxide,mean,330.7,ppm
1976,5,carbon_dioxide,mean_fitted,330.7,ppm
1976,5,carbon_dioxide,seasonal_adjusted_mean,330.9499140067879,ppm
1976,5,carbon_dioxide,trend,331.1015785410936,ppm
1976,6,carbon_dioxide,mean,330.8,ppm
1976,6,carbon_dioxide,mean_fitted,330.8,ppm
1976,6,carbon_dioxide,seasonal_adjusted_mean,330.97644362900314,ppm
1976,6,carbon_dioxide,trend,331.19747402497103,ppm
1976,7,carbon_dioxide,mean,331.7,ppm
1976,7,carbon_dioxide,mean_fitted,331.7,ppm
1976,7,carbon_dioxide,seasonal_adjusted_mean,331.45315736461725,ppm
1976,7,carbon_dioxide,trend,331.2933695088484,ppm
1976,8,carbon_dioxide,mean,331.6,ppm
1976,8,carbon_dioxide,mean_fitted,331.6,ppm
1976,8,carbon_dioxide,seasonal_adjusted_mean,331.20463060857014,ppm
1976,8,carbon_dioxide,trend,331.3892649927258,ppm
1976,9,carbon_dioxide,mean,331.5,ppm
1976,9,carbon_dioxide,mean_fitted,331.5,ppm
1976,9,carbon_dioxide,seasonal_adjusted_mean,331.11899409397364,ppm
1976,9,carbon_dioxide,trend,331.4851604766032,ppm
1976,10,carbon_dioxide,mean,331.8,ppm
