period_start,period_end,concentration,gas,reference_standard
1989-08-01,1989-08-31,1658.8,Methane,WMOX2004a
1989-09-01,1989-09-30,1662.5,Methane,WMOX2004a
1989-10-01,1989-10-31,1667.5,Methane,WMOX2004a
1989-11-01,1989-11-30,1669.4,Methane,WMOX2004a
1989-12-01,1989-12-31,1664.1,Methane,WMOX2004a
1990-01-01,1990-01-31,1654,Methane,WMOX2004a
1990-02-01,1990-02-28,1650.9,Methane,WMOX2004a
1990-03-01,1990-03-31,1649.1,Methane,WMOX2004a
1990-04-01,1990-04-30,1653.3,Methane,WMOX2004a
1990-05-01,1990-05-31,1659.4,Methane,WMOX2004a
1990-06-01,1990-06-30,1661.2,Methane,WMOX2004a
1990-07-01,1990-07-31,1668.7,Methane,WMOX2004a
1990-08-01,1990-08-31,1669.8,Methane,WMOX2004a
1990-09-01,1990-09-30,1672.7,Methane,WMOX2004a
1990-10-01,1990-10-31,1675.9,Methane,WMOX2004a
1990-11-01,1990-11-30,1674.3,Methane,WMOX2004a
1990-12-01,1990-12-31,1669.3,Methane,WMOX2004a
1991-01-01,1991-01-31,1656.7,Methane,WMOX2004a
1991-02-01,1991-02-28,1652.6,Methane,WMOX2004a
1991-03-01,1991-03-31,NA,Methane,WMOX2004a
1991-04-01,1991-04-30,1657.5,Methane,WMOX2004a
1991-05-01,1991-05-31,1666.9,Methane,WMOX2004a
1991-06-01,1991-06-30,1676,Methane,WMOX2004a
1991-07-01,1991-07-31,1687.1,Methane,WMOX2004a
1991-08-01,1991-08-31,1690.8,Methane,WMOX2004a
1991-09-01,1991-09-30,1696.7,Methane,WMOX2004a
1991-10-01,1991-10-31,1693.9,Methane,WMOX2004a
1991-11-01,1991-11-30,1689.9,Methane,WMOX2004a
1991-12-01,1991-12-31,1680.1,Methane,WMOX2004a
1992-01-01,1992-01-31,1671.4,Methane,WMOX2004a
1992-02-01,1992-02-29,1669.2,Methane,WMOX2004a
1992-03-01,1992-03-31,1669,Methane,WMOX2004a
1992-04-01,1992-04-30,1674,Methane,WMOX2004a
1992-05-01,1992-05-31,1679.7,Methane,WMOX2004a
1992-06-01,1992-06-30,1691.6,Methane,WMOX2004a
1992-07-01,1992-07-31,1695.1,Methane,WMOX2004a
1992-08-01,1992-08-31,1699.8,Methane,WMOX2004a
1992-09-01,1992-09-30,1698.9,Methane,WMOX2004a
1992-10-01,1992-10-31,1697.7,Methane,WMOX2004a
1992-11-01,1992-11-30,1689.7,Methane,WMOX2004a
1992-12-01,1992-12-31,1686.2,Methane,WMOX2004a
1993-01-01,1993-01-31,1674.1,Methane,WMOX2004a
1993-02-01,1993-02-28,1670.8,Methane,WMOX2004a
1993-03-01,1993-03-31,1673.4,Methane,WMOX2004a
1993-04-01,1993-04-30,1674.6,Methane,WMOX2004a
1993-05-01,1993-05-31,1685.2,Methane,WMOX2004a
1993-06-01,1993-06-30,1692.3,Methane,WMOX2004a
1993-07-01,1993-07-31,1697.4,Methane,WMOX2004a
1993-08-01,1993-08-31,1697.5,Methane,WMOX2004a
1993-09-01,1993-09-30,1697.9,Methane,WMOX2004a
1993-10-01,1993-10-31,1698.7,Methane,WMOX2004a
1993-11-01,1993-11-30,1696,Methane,WMOX2004a
1993-12-01,1993-12-31,1689.1,Methane,WMOX2004a
1994-01-01,1994-01-31,1680.4,Methane,WMOX2004a
1994-02-01,1994-02-28,1676.6,Methane,WMOX2004a
1994-03-01,1994-03-31,1677,Methane,WMOX2004a
1994-04-01,1994-04-30,1684.3,Methane,WMOX2004a
1994-05-01,1994-05-31,1691.4,Methane,WMOX2004a
1994-06-01,1994-06-30,1694,Methane,WMOX2004a
1994-07-01,1994-07-31,1697,Methane,WMOX2004a
1994-08-01,1994-08-31,1704.6,Methane,WMOX2004a
1994-09-01,1994-09-30,1707.4,Methane,WMOX2004a
1994-10-01,1994-10-31,1709,Methane,WMOX2004a
1994-11-01,1994-11-30,1702.3,Methane,WMOX2004a
1994-12-01,1994-12-31,1698,Methane,WMOX2004a
1995-01-01,1995-01-31,1690.4,Methane,WMOX2004a
1995-02-01,1995-02-28,1680.9,Methane,WMOX2004a
1995-03-01,1995-03-31,1686,Methane,WMOX2004a
1995-04-01,1995-04-30,1687.2,Methane,WMOX2004a
1995-05-01,1995-05-31,1699.6,Methane,WMOX2004a
1995-06-01,1995-06-30,1703.1,Methane,WMOX2004a
1995-07-01,1995-07-31,1703.4,Methane,WMOX2004a
1995-08-01,1995-08-31,1708.4,Methane,WMOX2004a
1995-09-01,1995-09-30,1712.4,Methane,WMOX2004a
1995-10-01,1995-10-31,1714.7,Methane,WMOX2004a
1995-11-01,1995-11-30,1708.7,Methane,WMOX2004a
1995-12-01,1995-12-31,1702.5,Methane,WMOX2004a
1996-01-01,1996-01-31,1693.9,Methane,WMOX2004a
1996-02-01,1996-02-29,1684.8,Methane,WMOX2004a
1996-03-01,1996-03-31,1688.2,Methane,WMOX2004a
1996-04-01,1996-04-30,1691.6,Methane,WMOX2004a
1996-05-01,1996-05-31,1696.1,Methane,WMOX2004a
1996-06-01,1996-06-30,1703.8,Methane,WMOX2004a
1996-07-01,1996-07-31,1709.2,Methane,WMOX2004a
1996-08-01,1996-08-31,1713.9,Methane,WMOX2004a
1996-09-01,1996-09-30,1714.9,Methane,WMOX2004a
1996-10-01,1996-10-31,1714.5,Methane,WMOX2004a
